customer_id,customer_name,email,city,state,country,signup_date
C000001,Matthew Turner,michaelwright@example.com,West Hannahtown,Maine,Lithuania,2025-06-05
C000002,John Park,garciamichelle@example.org,Michelleton,Nebraska,Iran,2026-01-06
C000003,Lori Smith,mark32@example.org,West Michaeltown,Kentucky,Ecuador,2026-05-16
C000004,Mr. Kevin Alexander,jeffery20@example.net,Mcguirehaven,New Hampshire,Indonesia,2025-12-30
C000005,Christy Powell,jcordova@example.org,Vanessahaven,Idaho,Switzerland,2025-06-01
C000006,John Tate,ykelley@example.com,Michaelmouth,Rhode Island,Brunei Darussalam,2024-11-14
C000007,Lauren Hines,kdavis@example.org,Millerfort,Vermont,Niue,2025-07-26
C000008,Monica Baker,carrollcindy@example.net,North Leslie,Michigan,Burundi,2025-08-06
C000009,Julie Byrd,carriehoward@example.com,Davisstad,Connecticut,Tanzania,2025-11-26
C000010,Jose Marshall,cynthia00@example.net,Sueton,Minnesota,Bhutan,2024-08-18
C000011,Samantha Fernandez,jasonscott@example.com,Salaston,Alabama,Anguilla,2025-11-27
C000012,Karen Lee,torreslawrence@example.com,Joseville,New Mexico,Grenada,2025-06-13
C000013,Heather Miller,janetmays@example.com,Hillshire,Washington,Bahamas,2024-08-12
C000014,Tracey Valdez,harristhomas@example.net,Kathleenfort,Kentucky,Bouvet Island (Bouvetoya),2025-08-21
C000015,Jose Alexander,toddhaas@example.net,Lesliestad,Maine,Libyan Arab Jamahiriya,2023-11-10
C000016,Billy Waters,jhernandez@example.com,New John,Arizona,Cook Islands,2024-02-15
C000017,Vincent Rivera,francesbanks@example.com,Averyton,South Carolina,Lao People's Democratic Republic,2023-10-31
C000018,Angel Shaffer,richard33@example.net,Marialand,Alabama,Italy,2024-04-25
C000019,Lisa York,daniel40@example.org,New Eric,Arizona,New Zealand,2025-08-09
C000020,Jeffrey Diaz,danielolsen@example.org,West Laura,Washington,Swaziland,2026-06-25
C000021,Cynthia Thompson,omoore@example.net,East Theresa,New Hampshire,Costa Rica,2025-06-18
C000022,Anthony Murray,annejames@example.org,Cherylborough,Tennessee,Rwanda,2026-01-22
C000023,Michael Shaw,chrishamilton@example.org,North Christinaport,Utah,South Africa,2024-05-14
C000024,Jasmin Martinez,mariah03@example.org,Vasquezmouth,New Mexico,Sri Lanka,2025-02-27
C000025,Carla Stone,derrick44@example.com,New Joelside,Vermont,Congo,2025-11-25
C000026,Jesse Nelson,hoopercheryl@example.org,Vazquezville,Montana,Georgia,2024-11-22
C000027,Elizabeth Harrison,krystal04@example.org,Lake Kathryn,Washington,Rwanda,2023-09-21
C000028,Patrick Mack,awright@example.org,West Bryan,Oregon,Japan,2026-05-26
C000029,Thomas Tran,lindahorne@example.org,Davidtown,Oregon,Congo,2025-08-24
C000030,Corey Carter,rosejustin@example.com,New Chloe,Oregon,Cambodia,2024-08-09
C000031,Bethany Guzman,jenniferbrooks@example.com,East Jermaine,North Dakota,Ghana,2025-10-19
C000032,Douglas Kelly,aguilarangela@example.com,West Andrewhaven,Virginia,India,2025-06-11
C000033,Amy Smith,chad41@example.org,South Autumnberg,Wyoming,Kuwait,2025-09-14
C000034,Kristin Oliver,curtis79@example.com,South Kevinville,Massachusetts,Korea,2025-10-01
C000035,Brian Huffman,fraziercharles@example.com,East Matthew,Montana,Kuwait,2024-07-25
C000036,Evelyn Ford,michael71@example.net,East Deannaview,Connecticut,Belgium,2024-07-30
C000037,Lindsay Khan,bklein@example.org,Port Stephanie,Michigan,Kyrgyz Republic,2025-09-25
C000038,George Valenzuela,yangelizabeth@example.net,Lake Bridgettown,Michigan,Palestinian Territory,2026-03-30
C000039,Mary Lara,salazarrobert@example.com,West Eric,Michigan,Monaco,2024-01-29
C000040,Evan Landry,gonzalezdonna@example.org,Castillochester,North Dakota,South Georgia and the South Sandwich Islands,2025-04-16
C000041,Jesse Pruitt,zvaughn@example.org,Ellisland,North Carolina,Bouvet Island (Bouvetoya),2024-02-12
C000042,Frederick Terry,georgemax@example.net,Ruizmouth,Pennsylvania,Tunisia,2024-11-06
C000043,Alexis Jordan,jesussmith@example.net,East Annachester,Delaware,Mozambique,2026-04-26
C000044,Jessica Decker,fharrington@example.org,South John,Louisiana,Morocco,2025-01-06
C000045,Chad West,fkennedy@example.org,New Kelseyberg,South Carolina,British Indian Ocean Territory (Chagos Archipelago),2025-11-08
C000046,Chad Brooks,richadam@example.org,Port Gregory,Alabama,Moldova,2023-12-09
C000047,Victoria Becker,william31@example.net,East Carla,New Jersey,Georgia,2024-06-03
C000048,Matthew Acosta,mary27@example.com,Lake Oscarville,Arizona,Czech Republic,2023-08-01
C000049,Michael Buckley,johnyoung@example.org,West Frederickborough,Alabama,Aruba,2024-06-30
