customer_id,recency_days,frequency,monetary_total,avg_order_value,first_purchase_date,last_purchase_date,customer_lifetime_days,customer_name,city,state,country,signup_date,r_score,f_score,m_score,rfm_total,rfm_cell,customer_segment
C000033,19,31,2381.19,76.81258064516129,2024-08-03,2026-06-12,678,Amy Smith,South Autumnberg,Wyoming,Kuwait,2025-09-14,5,5,5,15,555,Champions
C000372,16,36,2041.82,56.71722222222222,2024-08-17,2026-06-15,667,Jeremy Richardson,West Codyport,Pennsylvania,Croatia,2024-07-27,5,5,5,15,555,Champions
C000067,88,35,2049.58,58.55942857142857,2024-04-25,2026-04-04,709,Kimberly Larson,Bergershire,West Virginia,Guam,2026-04-28,4,5,5,14,455,Champions
C000073,38,33,2915.65,88.35303030303031,2024-06-15,2026-05-24,708,Michael Nelson,Danielleton,Wisconsin,Greenland,2025-12-14,4,5,5,14,455,Champions
C000822,6,34,1010.06,29.70764705882353,2024-07-02,2026-06-25,723,Michael Foster,Lake Crystalton,Washington,Comoros,2026-01-31,5,5,4,14,554,Champions
C000884,11,35,1529.71,43.706,2024-06-24,2026-06-20,726,Joshua Hamilton,Lake Dianebury,Mississippi,Cook Islands,2024-02-14,5,5,4,14,554,Champions
C000673,15,37,1335.81,36.10297297297297,2024-08-26,2026-06-16,659,Kara Curry,Bellville,Alaska,Uruguay,2026-06-03,5,5,4,14,554,Champions
C000487,14,35,1995.26,57.00742857142857,2024-07-24,2026-06-17,693,Melinda Hall,South Jackiemouth,Delaware,Lesotho,2025-04-26,5,5,4,14,554,Champions
C001301,21,36,1557.57,43.26583333333333,2024-07-25,2026-06-10,685,Lisa Jones,Smithland,Wisconsin,British Indian Ocean Territory (Chagos Archipelago),2025-11-06,5,5,4,14,554,Champions
C001298,14,33,1250.65,37.89848484848485,2024-06-28,2026-06-17,719,Brandi Peters,Tamaraview,Delaware,Moldova,2024-11-21,5,5,4,14,554,Champions
C000203,59,33,2116.66,64.14121212121212,2024-07-15,2026-05-03,657,Devin Hester,Jameshaven,Wyoming,Jamaica,2025-02-17,4,5,5,14,455,Champions
C001572,25,34,1107.92,32.58588235294118,2024-08-12,2026-06-06,663,Joel Nelson,Jonathanshire,Virginia,Guyana,2025-06-14,5,5,4,14,554,Champions
C000202,46,38,2615.54,68.83,2024-06-19,2026-05-16,696,John Wilkinson,North Stacybury,Louisiana,Korea,2024-08-04,4,5,5,14,455,Champions
C000847,17,32,1276.68,39.89625,2024-07-22,2026-06-14,692,Jamie Carrillo,Kellyshire,Virginia,Austria,2025-10-17,5,5,4,14,554,Champions
C002232,29,39,1042.4,26.72820512820513,2024-06-18,2026-06-02,714,Jackson Sims,Philipfurt,Michigan,Zambia,2024-10-11,5,5,4,14,554,Champions
C001259,15,38,1405.19,36.97868421052632,2024-07-06,2026-06-16,710,Lisa Bender,Lesliechester,Mississippi,Mexico,2025-04-30,5,5,4,14,554,Champions
C000975,17,35,1034.23,29.54942857142857,2024-06-18,2026-06-14,726,Ryan Mora,Dyerbury,Iowa,Angola,2025-09-19,5,5,4,14,554,Champions
C000771,18,36,1951.28,54.20222222222222,2024-07-13,2026-06-13,700,Brittany Fitzgerald,Moorehaven,Minnesota,Liberia,2025-03-12,5,5,4,14,554,Champions
C000300,10,36,1696.61,47.128055555555555,2024-08-09,2026-06-21,681,Jesse Bridges,Lake Lisa,Idaho,Austria,2024-10-08,5,5,4,14,554,Champions
C002456,24,39,1137.5,29.166666666666668,2024-06-14,2026-06-07,723,Steven Watson,East Christineport,Arkansas,Bermuda,2024-04-02,5,5,4,14,554,Champions
C001524,18,36,1014.62,28.183888888888887,2024-06-29,2026-06-13,714,Margaret Stewart,New Sherry,Oregon,Azerbaijan,2024-08-22,5,5,4,14,554,Champions
