revenue_rank,customer_id,customer_name,amount,customer_pct,cumulative_pct,pareto_group
1,C000007,Lauren Hines,3425.5,0.0,0.3,Top 20%
2,C000073,Michael Nelson,2915.65,0.0,0.6,Top 20%
3,C000005,Christy Powell,2831.5,0.0,0.8,Top 20%
4,C000202,John Wilkinson,2615.54,0.1,1.1,Top 20%
5,C000263,Sharon Harris,2441.95,0.1,1.3,Top 20%
6,C000033,Amy Smith,2381.19,0.1,1.5,Top 20%
7,C000260,Marc Blake,2342.76,0.1,1.7,Top 20%
8,C000038,George Valenzuela,2262.31,0.1,1.9,Top 20%
9,C000030,Corey Carter,2245.74,0.2,2.1,Top 20%
10,C000203,Devin Hester,2116.66,0.2,2.3,Top 20%
11,C000006,John Tate,2106.67,0.2,2.5,Top 20%
12,C000900,Thomas Garcia,2063.43,0.2,2.7,Top 20%
13,C000067,Kimberly Larson,2049.58,0.2,2.9,Top 20%
14,C000372,Jeremy Richardson,2041.82,0.2,3.0,Top 20%
15,C000146,Madison Bowers,2034.68,0.2,3.2,Top 20%
16,C000487,Melinda Hall,1995.26,0.3,3.4,Top 20%
17,C000617,Julia Wilson,1985.68,0.3,3.6,Top 20%
18,C000879,Andrew Bowen,1973.65,0.3,3.8,Top 20%
19,C000771,Brittany Fitzgerald,1951.28,0.3,3.9,Top 20%
20,C000206,Amanda Pennington,1934.04,0.3,4.1,Top 20%
21,C000210,Sabrina Green,1927.82,0.4,4.3,Top 20%
22,C000540,Lynn Campbell,1875.01,0.4,4.5,Top 20%
23,C000129,Aaron Nelson,1860.15,0.4,4.6,Top 20%
24,C000348,Shannon Johns,1849.06,0.4,4.8,Top 20%
25,C000587,Courtney Hurst,1825.06,0.4,5.0,Top 20%
26,C000022,Anthony Murray,1797.95,0.4,5.1,Top 20%
27,C000813,Sarah Foster,1783.15,0.4,5.3,Top 20%
28,C000149,Jamie Richardson,1779.72,0.5,5.4,Top 20%
29,C001169,Donald Macdonald,1766.78,0.5,5.6,Top 20%
30,C000182,Tyler Aguilar,1734.96,0.5,5.8,Top 20%
31,C000408,James Carter,1711.08,0.5,5.9,Top 20%
32,C000516,David Hicks,1707.32,0.5,6.1,Top 20%
33,C000370,Sara Vega,1701.02,0.6,6.2,Top 20%
34,C000300,Jesse Bridges,1696.61,0.6,6.4,Top 20%
35,C001253,Gary Fleming,1691.52,0.6,6.5,Top 20%
36,C000984,Sean Allen,1680.39,0.6,6.7,Top 20%
37,C000529,Elizabeth Smith,1676.52,0.6,6.8,Top 20%
38,C000611,Samantha Gibbs,1649.46,0.6,7.0,Top 20%
39,C000601,Jasmine Russell,1647.05,0.6,7.1,Top 20%
40,C001292,Gregory Walker,1635.1100000000001,0.7,7.3,Top 20%
41,C001073,Donald Brooks,1624.32,0.7,7.4,Top 20%
42,C000191,Kerri Lee,1594.05,0.7,7.6,Top 20%
43,C000958,Terrence Watson,1593.57,0.7,7.7,Top 20%
44,C000455,Jennifer Hall,1590.34,0.7,7.8,Top 20%
45,C001014,Eric Williams,1558.97,0.8,8.0,Top 20%
46,C001301,Lisa Jones,1557.57,0.8,8.1,Top 20%
47,C000100,Crystal Miller,1553.59,0.8,8.3,Top 20%
48,C001120,Angela Osborne,1552.58,0.8,8.4,Top 20%
49,C000563,Paul Hammond,1546.51,0.8,8.5,Top 20%
50,C000401,Brandon Wiggins,1539.6499999999999,0.8,8.7,Top 20%
51,C000920,Emily Lawson,1536.71,0.8,8.8,Top 20%
52,C000884,Joshua Hamilton,1529.71,0.9,9.0,Top 20%
53,C000520,Bonnie Randolph,1509.35,0.9,9.1,Top 20%
54,C000209,Dr. Randall Jones,1503.0,0.9,9.2,Top 20%
55,C001136,Kimberly Henderson,1494.4,0.9,9.4,Top 20%
56,C000431,Lisa Miller,1485.52,0.9,9.5,Top 20%
57,C000761,Dwayne Chavez,1479.37,1.0,9.6,Top 20%
58,C000133,Mike Knight,1478.74,1.0,9.8,Top 20%
59,C000069,Aaron Garcia,1478.22,1.0,9.9,Top 20%
60,C000091,Jason Fields,1472.46,1.0,10.0,Top 20%
61,C001034,Karen Griffin,1472.1399999999999,1.0,10.2,Top 20%
62,C000857,Karen Sharp,1471.23,1.0,10.3,Top 20%
63,C000440,Marcus Burch,1454.75,1.0,10.4,Top 20%
64,C002477,Teresa Pittman,1452.16,1.1,10.6,Top 20%
65,C001191,Brandon Arnold,1450.41,1.1,10.7,Top 20%
